scenario,n,trial,rank,lambda_min_information,parameter_covered,aligned_sum_width,empty,lower,upper,width,delta_covered,decision,incorrect_claim,sign_error
null,8,81,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,82,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,83,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,84,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,85,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,86,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,87,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,88,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,89,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,90,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,91,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,92,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,93,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,94,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,95,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,96,1,0.0,0,0.20788557365245164,0,-0.9304681124858599,0.9304681124858599,1.8609362249717198,1,0,0,0
null,8,97,1,0.0,1,0.20788557365245175,0,-1.0,1.0,2.0,1,0,0,0
null,8,98,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,99,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,100,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,101,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,102,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,103,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,104,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,105,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,106,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,107,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,108,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,109,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,110,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,111,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,112,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,113,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,114,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,115,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,116,1,0.0,1,0.20788557365245175,0,-1.0,1.0,2.0,1,0,0,0
null,8,117,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,118,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,119,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,120,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,121,1,0.0,1,0.20788557365245175,0,-1.0,1.0,2.0,1,0,0,0
null,8,122,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,123,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,124,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,125,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,126,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,127,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,128,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,129,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,130,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,131,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,132,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,133,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,134,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,135,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,136,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,137,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,138,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,139,1,0.0,0,0.2078855736524518,0,-0.9471411913989232,0.9471411913989232,1.8942823827978463,1,0,0,0
null,8,140,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,141,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,142,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,143,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,144,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,145,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,146,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,147,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,148,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,149,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,150,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,151,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,152,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,153,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,154,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,155,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,156,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,157,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,158,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,159,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,160,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,161,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,162,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,163,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,164,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,165,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,166,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,167,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,168,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,169,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,170,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,171,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,172,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,173,1,0.0,1,0.20788557365245175,0,-1.0,1.0,2.0,1,0,0,0
null,8,174,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,175,1,0.0,1,0.20788557365245164,0,-1.0,1.0,2.0,1,0,0,0
null,8,176,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,177,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
null,8,178,1,0.0,1,0.20788557365245153,0,-1.0,1.0,2.0,1,0,0,0
