trial,method,budget,alpha,rank,theta1,theta2,true_delta,delta_hat,parameter_covered,point_sign_error,interval_type,empty,lower,upper,width,delta_covered,decision,incorrect_claim,sign_error
0,d_opt,4,0.1,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.39391847022553195,1,0,scalar_wald,0,0.21945539717403095,0.5683815432770329,0.348926146103002,1,1,0,0
0,d_opt,4,0.05,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.39391847022553195,1,0,shared_parameter_set,0,0.13429571283518904,0.6535412276158749,0.5192455147806858,1,1,0,0
0,d_opt,4,0.05,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.39391847022553195,1,0,scalar_wald,0,0.1860328965730803,0.6018040438779836,0.4157711473049033,1,1,0,0
0,d_opt,4,0.01,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.39391847022553195,1,0,shared_parameter_set,0,0.07202356628212991,0.715813374168934,0.6437898078868041,1,1,0,0
0,d_opt,4,0.01,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.39391847022553195,1,0,scalar_wald,0,0.12071051506776459,0.6671264253832994,0.5464159103155348,1,1,0,0
0,d_opt,8,0.5,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.462086670915125,0,0,shared_parameter_set,0,0.37378091922646445,0.5503924226037855,0.17661150337732107,1,1,0,0
0,d_opt,8,0.5,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.462086670915125,0,0,scalar_wald,0,0.41149993965041887,0.5126734021798312,0.10117346252941228,0,1,0,0
0,d_opt,8,0.2,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.462086670915125,1,0,shared_parameter_set,0,0.32752747756556744,0.5966458642646826,0.26911838669911514,1,1,0,0
0,d_opt,8,0.2,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.462086670915125,1,0,scalar_wald,0,0.36597030349927995,0.5582030383309701,0.19223273483169012,1,1,0,0
0,d_opt,8,0.1,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.462086670915125,1,0,shared_parameter_set,0,0.30113921894342394,0.6230341228868261,0.3218949039434022,1,1,0,0
0,d_opt,8,0.1,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.462086670915125,1,0,scalar_wald,0,0.33872264889376463,0.5854506929364853,0.2467280440427207,1,1,0,0
0,d_opt,8,0.05,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.462086670915125,1,0,shared_parameter_set,0,0.27850565861406373,0.6456676832161863,0.36716202460212255,1,1,0,0
0,d_opt,8,0.05,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.462086670915125,1,0,scalar_wald,0,0.31508937207462095,0.6090839697556291,0.2939945976810081,1,1,0,0
0,d_opt,8,0.01,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.462086670915125,1,0,shared_parameter_set,0,0.23447260150735305,0.689700740322897,0.4552281388155439,1,1,0,0
0,d_opt,8,0.01,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.462086670915125,1,0,scalar_wald,0,0.2688994731489575,0.6552738686812924,0.38637439553233494,1,1,0,0
0,d_opt,16,0.5,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.44969121575679755,0,0,shared_parameter_set,0,0.3775898714267534,0.5217925600868417,0.14420268866008834,1,1,0,0
0,d_opt,16,0.5,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.44969121575679755,0,0,scalar_wald,0,0.4083873226388553,0.4909951088747398,0.0826077862358845,0,1,0,0
0,d_opt,16,0.2,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.44969121575679755,0,0,shared_parameter_set,0,0.33982409445449097,0.5595583370591042,0.21973424260461322,1,1,0,0
0,d_opt,16,0.2,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.44969121575679755,0,0,scalar_wald,0,0.37121253039056695,0.5281699011230281,0.15695737073246113,1,1,0,0
0,d_opt,16,0.1,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.44969121575679755,1,0,shared_parameter_set,0,0.3182781715128742,0.5811042600007209,0.2628260884878467,1,1,0,0
0,d_opt,16,0.1,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.44969121575679755,1,0,scalar_wald,0,0.3489649135668641,0.550417517946731,0.2014526043798669,1,1,0,0
0,d_opt,16,0.05,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.44969121575679755,1,0,shared_parameter_set,0,0.2997979468897302,0.5995844846238649,0.2997865377341347,1,1,0,0
0,d_opt,16,0.05,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.44969121575679755,1,0,scalar_wald,0,0.32966842384791484,0.5697140076656803,0.24004558381776542,1,1,0,0
0,d_opt,16,0.01,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.44969121575679755,1,0,shared_parameter_set,0,0.26384510631430563,0.6355373251992895,0.3716922188849839,1,1,0,0
0,d_opt,16,0.01,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.44969121575679755,1,0,scalar_wald,0,0.2919545293017134,0.6074279022118817,0.3154733729101683,1,1,0,0
0,d_opt,32,0.5,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.42289931525545066,0,0,shared_parameter_set,0,0.3663206726521565,0.4794779578587448,0.1131572852065883,0,1,0,0
0,d_opt,32,0.5,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.42289931525545066,0,0,scalar_wald,0,0.39048773918070423,0.4553108913301971,0.06482315214949286,0,1,0,0
0,d_opt,32,0.2,2,0.8561554461455669,0.3350654281769645,0.5210900179686024,0.42289931525545066,0,0,shared_parameter_set,0,0.33668549153585947,0.5091131389750418,0.17242764743918237,0,1,0,0
