method,interval_type,budget,alpha,trials,parameter_coverage,delta_coverage,delta_coverage_wilson95_low,delta_coverage_wilson95_high,decision_coverage,decision_coverage_wilson95_low,decision_coverage_wilson95_high,claims,incorrect_claims,unconditional_incorrect_claim_rate,selective_risk,selective_risk_wilson95_low,selective_risk_wilson95_high,sign_errors,empty_sets,mean_interval_width_nonempty,point_ranking_error_rate
random,scalar_wald,32,0.5,300,0.4866666666666667,0.54,0.4834517097991302,0.5955368525029061,0.7966666666666666,0.7475056887150938,0.8383261483583421,239,6,0.02,0.02510460251046025,0.01155531970464068,0.05367842949792411,0,0,0.07201890929451196,0.05333333333333334
random,shared_parameter_set,32,0.2,300,0.82,0.9333333333333333,0.899276940483885,0.9564324844548417,0.69,0.6355391960366674,0.739656474898005,207,0,0.0,0.0,0.0,0.018219655859813683,0,0,0.19156782406493203,0.05333333333333334
random,scalar_wald,32,0.2,300,0.82,0.7966666666666666,0.7475056887150938,0.8383261483583421,0.7466666666666667,0.6945458844004171,0.7925502497954735,224,1,0.0033333333333333335,0.004464285714285714,0.0007884912109385606,0.024849769933145915,0,0,0.13683817423224734,0.05333333333333334
random,shared_parameter_set,32,0.1,300,0.9066666666666666,0.9733333333333334,0.9482710570494102,0.9864269301913529,0.6633333333333333,0.6080919973085686,0.7144446320914131,199,0,0.0,0.0,0.0,0.018938233056634942,0,0,0.22912665959433307,0.05333333333333334
random,scalar_wald,32,0.1,300,0.9066666666666666,0.92,0.8837267595665261,0.9456531446048553,0.7,0.6458824752950584,0.749060336215123,210,0,0.0,0.0,-1.734723475976807e-18,0.017964050759283236,0,0,0.17562989523225409,0.05333333333333334
random,shared_parameter_set,32,0.05,300,0.9733333333333334,0.9933333333333333,0.9760224167496929,0.998169851642088,0.6166666666666667,0.5605031391673366,0.669880167546936,185,0,0.0,0.0,0.0,0.020342242877617298,0,0,0.2613310822932352,0.05333333333333334
random,scalar_wald,32,0.05,300,0.9733333333333334,0.96,0.9313957879613599,0.9769726785120576,0.67,0.6149358533991501,0.7207655363845044,201,0,0.0,0.0,0.0,0.01875332680605788,0,0,0.20927592803606757,0.05333333333333334
random,shared_parameter_set,32,0.01,300,0.9966666666666667,1.0,0.9873570287754538,0.9999999999999998,0.54,0.4834517097991302,0.5955368525029061,162,0,0.0,0.0,0.0,0.023163440842904465,0,0,0.32392604973651296,0.05333333333333334
random,scalar_wald,32,0.01,300,0.9966666666666667,0.9966666666666667,0.9813633063054688,0.9994113422781488,0.6033333333333334,0.5470046178899679,0.6570491680569592,181,0,0.0,0.0,0.0,0.02078245240652716,0,0,0.27503519055182796,0.05333333333333334
d_opt,shared_parameter_set,0,0.5,300,0.48333333333333334,1.0,0.9873570287754538,0.9999999999999998,0.0,8.673617379884035e-19,0.012642971224546034,0,0,0.0,,,,0,0,1.5188840838263213,0.5366666666666666
d_opt,scalar_wald,0,0.5,300,0.48333333333333334,1.0,0.9873570287754538,0.9999999999999998,0.0,8.673617379884035e-19,0.012642971224546034,0,0,0.0,,,,0,0,2.0,0.5366666666666666
d_opt,shared_parameter_set,0,0.2,300,0.7933333333333333,1.0,0.9873570287754538,0.9999999999999998,0.0,8.673617379884035e-19,0.012642971224546034,0,0,0.0,,,,0,0,1.595384336003226,0.5366666666666666
d_opt,scalar_wald,0,0.2,300,0.7933333333333333,1.0,0.9873570287754538,0.9999999999999998,0.0,8.673617379884035e-19,0.012642971224546034,0,0,0.0,,,,0,0,2.0,0.5366666666666666
d_opt,shared_parameter_set,0,0.1,300,0.91,1.0,0.9873570287754538,0.9999999999999998,0.0,8.673617379884035e-19,0.012642971224546034,0,0,0.0,,,,0,0,1.637065937783869,0.5366666666666666
d_opt,scalar_wald,0,0.1,300,0.91,1.0,0.9873570287754538,0.9999999999999998,0.0,8.673617379884035e-19,0.012642971224546034,0,0,0.0,,,,0,0,2.0,0.5366666666666666
d_opt,shared_parameter_set,0,0.05,300,0.96,1.0,0.9873570287754538,0.9999999999999998,0.0,8.673617379884035e-19,0.012642971224546034,0,0,0.0,,,,0,0,1.670972156246493,0.5366666666666666
d_opt,scalar_wald,0,0.05,300,0.96,1.0,0.9873570287754538,0.9999999999999998,0.0,8.673617379884035e-19,0.012642971224546034,0,0,0.0,,,,0,0,2.0,0.5366666666666666
d_opt,shared_parameter_set,0,0.01,300,0.99,1.0,0.9873570287754538,0.9999999999999998,0.0,8.673617379884035e-19,0.012642971224546034,0,0,0.0,,,,0,0,1.731686039769647,0.5366666666666666
