task,policy_a,policy_b,count_a,count_b,n_each,difference,newcombe_low,newcombe_high,simultaneous_cp_low,simultaneous_cp_high,publicly_rerunnable_pair,opposite_published_means
google_robot_move_near,rt-1-converged,rt-1-15pct,38,35,60,0.05,-0.12165265139770512,0.21760100788019218,-0.2911998303266502,0.3826955927901746,True,False
google_robot_move_near,rt-1-converged,rt-1-x,38,27,60,0.18333333333333332,0.005433759022711371,0.34574320310549495,-0.17059855809842495,0.5061560125315406,True,False
google_robot_move_near,rt-1-converged,rt-1-begin,38,1,60,0.6166666666666667,0.47116583550729546,0.7279728061722053,0.33484515456672154,0.7886510639828457,True,False
google_robot_move_near,rt-1-converged,octo-base,38,21,60,0.2833333333333333,0.10452217035932126,0.43804134990883414,-0.07256489725439697,0.5911194583961499,True,False
google_robot_move_near,rt-1-15pct,rt-1-x,35,27,60,0.13333333333333333,-0.04424595986067151,0.2995790777005145,-0.21988477754511393,0.4639464695147052,True,False
google_robot_move_near,rt-1-15pct,rt-1-begin,35,1,60,0.5666666666666667,0.4215576087155874,0.6834987616252612,0.28555893512003255,0.7464415209660102,True,False
google_robot_move_near,rt-1-15pct,octo-base,35,21,60,0.23333333333333334,0.05484081574365807,0.392063456855975,-0.12185111670108595,0.5489099153793144,True,False
google_robot_move_near,rt-1-x,rt-1-begin,27,1,60,0.43333333333333335,0.294252397700861,0.559164029987419,0.16209851537866654,0.625840248737785,True,False
google_robot_move_near,rt-1-x,octo-base,27,21,60,0.1,-0.07362732156102272,0.2654656397006687,-0.24531153644245196,0.42830864315108913,True,False
google_robot_move_near,rt-1-begin,octo-base,1,21,60,-0.3333333333333333,-0.46044957023747835,-0.20332905936621007,-0.527806587893757,-0.07713506951405735,True,True
google_robot_open_drawer,rt-2-x,rt-1-converged,9,22,27,-0.48148148148148145,-0.6611112547771445,-0.2196540897169893,-0.8345979417396723,0.05051402780928549,False,False
google_robot_open_drawer,rt-2-x,rt-1-15pct,9,19,27,-0.37037037037037035,-0.5717636719932199,-0.10384088991117524,-0.7738993412120225,0.1698897198240562,False,False
google_robot_open_drawer,rt-2-x,rt-1-x,9,14,27,-0.18518518518518517,-0.4129415224202473,0.07447224682625947,-0.6417073172529391,0.33960995575841524,False,False
google_robot_open_drawer,rt-2-x,rt-1-begin,9,0,27,0.3333333333333333,0.14073588660929146,0.5217523949267993,-0.05880544745372074,0.603227618650592,False,False
google_robot_open_drawer,rt-2-x,octo-base,9,4,27,0.18518518518518517,-0.044556090065686504,0.39356167576002443,-0.27853932794906827,0.5784929179336753,False,False
google_robot_open_drawer,rt-1-converged,rt-1-15pct,22,19,27,0.1111111111111111,-0.11699255215268625,0.3261070542954296,-0.34609114515841366,0.5261654377008341,True,False
google_robot_open_drawer,rt-1-converged,rt-1-x,22,14,27,0.2962962962962963,0.04461203296912053,0.5027115903775349,-0.2138991211993302,0.6958856736351932,True,False
google_robot_open_drawer,rt-1-converged,rt-1-begin,22,0,27,0.8148148148148148,0.5944383284546952,0.9181929285702347,0.3690027485998881,0.95950333652737,True,False
google_robot_open_drawer,rt-1-converged,octo-base,22,4,27,0.6666666666666666,0.4131847682799996,0.8030706748781277,0.14926886810454054,0.9347686358104532,True,False
google_robot_open_drawer,rt-1-15pct,rt-1-x,19,14,27,0.18518518518518517,-0.07138712291176191,0.4107947597048517,-0.3332748132141009,0.6351870731075434,True,False
google_robot_open_drawer,rt-1-15pct,rt-1-begin,19,0,27,0.7037037037037037,0.4777608423071029,0.8414695953022023,0.24962705658511736,0.8988047359997202,True,False
google_robot_open_drawer,rt-1-15pct,octo-base,19,4,27,0.5555555555555556,0.2972196237044865,0.7195630552025323,0.029893176089769824,0.8740700352828035,True,False
google_robot_open_drawer,rt-1-x,rt-1-begin,14,0,27,0.5185185185185185,0.30072459146587305,0.6925677302378153,0.07990682065075833,0.7666127120406367,True,False
google_robot_open_drawer,rt-1-x,octo-base,14,4,27,0.37037037037037035,0.11913050145962262,0.565849645877091,-0.1398270598445892,0.74187801132372,True,False
google_robot_open_drawer,rt-1-begin,octo-base,0,4,27,-0.14814814814814814,-0.3247868542781298,0.0049301797971268435,-0.403444722736766,0.1589761415245018,True,False
google_robot_close_drawer,rt-2-x,rt-1-converged,17,25,27,-0.2962962962962963,-0.49112849810151615,-0.0737695281090594,-0.6348667506864861,0.15640296469655612,False,False
google_robot_close_drawer,rt-2-x,rt-1-15pct,17,24,27,-0.25925925925925924,-0.46016888418968815,-0.029568040694740144,-0.6263188407206955,0.20675288418055504,False,False
google_robot_close_drawer,rt-2-x,rt-1-x,17,20,27,-0.1111111111111111,-0.33775106257983356,0.13221007084744307,-0.5593382477576113,0.37853809251231285,False,False
google_robot_close_drawer,rt-2-x,rt-1-begin,17,0,27,0.6296296296296297,0.4046647124186782,0.784674870390344,0.17787384205685736,0.8499341329511034,False,False
google_robot_close_drawer,rt-2-x,octo-base,17,14,27,0.1111111111111111,-0.1446004190197014,0.34766822030371936,-0.4050280277423609,0.5863164700589266,False,True
google_robot_close_drawer,rt-1-converged,rt-1-15pct,25,24,27,0.037037037037037035,-0.13831562112719256,0.21475410859079305,-0.2943723567644241,0.3532701862142136,True,False
google_robot_close_drawer,rt-1-converged,rt-1-x,25,20,27,0.18518518518518517,-0.01914186867044204,0.38019928525412117,-0.22739176380133985,0.5250553945459714,True,True
google_robot_close_drawer,rt-1-converged,rt-1-begin,25,0,27,0.9259259259259259,0.7234584191222273,0.9794453459390113,0.5098203260131289,0.996451434984762,True,False
google_robot_close_drawer,rt-1-converged,octo-base,25,14,27,0.4074074074074074,0.1712458864574081,0.5939136205627678,-0.07308154378608944,0.7328337720925852,True,False
google_robot_close_drawer,rt-1-15pct,rt-1-x,24,20,27,0.14814814814814814,-0.06395899049437326,0.3492341739060628,-0.27774168328533877,0.5165074845801808,True,True
google_robot_close_drawer,rt-1-15pct,rt-1-begin,24,0,27,0.8888888888888888,0.6785724971427789,0.9614796517169015,0.4594704065291299,0.9879035250189714,True,False
